centroid_day,repeat,centroid_day_train,accuracy,precision_micro,precision_macro,precision_weighted,precision_negative,precision_neutral,precision_positive,recall_micro,recall_macro,recall_weighted,recall_negative,recall_neutral,recall_positive,f1_micro,f1_macro,f1_weighted,f1_negative,f1_neutral,f1_positive
2020-07-31,14,2019-05-08,0.5133333333333333,0.5133333333333333,0.47383107088989446,0.5006530920060331,0.35294117647058826,0.5147058823529411,0.5538461538461539,0.5133333333333333,0.4629049111807732,0.5133333333333333,0.20689655172413793,0.6363636363636364,0.5454545454545454,0.5133333333333333,0.45986452562832963,0.5009389303982652,0.2608695652173913,0.5691056910569107,0.549618320610687
2018-08-11,14,2018-08-11,0.6066666666666667,0.6066666666666667,0.6271524771524772,0.6190346320346319,0.6785714285714286,0.6444444444444445,0.5584415584415584,0.6066666666666667,0.5931213699575282,0.6066666666666667,0.5135135135135135,0.5370370370370371,0.7288135593220338,0.6066666666666667,0.6009423038834805,0.6038397093102976,0.5846153846153848,0.585858585858586,0.6323529411764706
2018-11-09,14,2018-08-11,0.6466666666666666,0.6466666666666666,0.6203703703703703,0.6387037037037037,0.5555555555555556,0.6388888888888888,0.6666666666666666,0.6466666666666666,0.5683819726372917,0.6466666666666666,0.38461538461538464,0.48936170212765956,0.8311688311688312,0.6466666666666666,0.5828822383596393,0.632249819034414,0.4545454545454546,0.5542168674698795,0.7398843930635838
2019-02-07,14,2018-08-11,0.56,0.56,0.5160799454917102,0.5551499735029146,0.35714285714285715,0.5675675675675675,0.6235294117647059,0.56,0.5044179894179894,0.56,0.35714285714285715,0.42,0.7361111111111112,0.56,0.5050202378337674,0.5516626400175709,0.35714285714285715,0.4827586206896552,0.6751592356687899
2019-05-08,14,2018-08-11,0.5666666666666667,0.5666666666666667,0.510803321101116,0.5433084358999339,0.35714285714285715,0.5849056603773585,0.5903614457831325,0.5666666666666667,0.49261038358653736,0.5666666666666667,0.1724137931034483,0.5740740740740741,0.7313432835820896,0.5666666666666667,0.4884435750682219,0.5453815933734213,0.23255813953488377,0.5794392523364486,0.6533333333333333
2019-08-06,14,2018-08-11,0.5933333333333334,0.5933333333333334,0.5727565510174206,0.6012648221343874,0.4090909090909091,0.7222222222222222,0.5869565217391305,0.5933333333333334,0.5325988194404733,0.5933333333333334,0.3103448275862069,0.48148148148148145,0.8059701492537313,0.5933333333333334,0.5366547457557447,0.5796315205327415,0.35294117647058826,0.5777777777777777,0.679245283018868
2019-11-04,14,2018-08-11,0.58,0.58,0.5893654149468103,0.5866821034262895,0.5909090909090909,0.6190476190476191,0.5581395348837209,0.58,0.5441176470588235,0.58,0.38235294117647056,0.5,0.75,0.58,0.5524924012158055,0.5700778115501519,0.46428571428571425,0.5531914893617021,0.6399999999999999
2020-02-02,14,2018-08-11,0.5,0.5,0.5226495726495727,0.5141196581196581,0.6,0.4807692307692308,0.48717948717948717,0.5,0.48167665667665666,0.5,0.3076923076923077,0.44642857142857145,0.6909090909090909,0.5,0.48039039846949455,0.4881260275610559,0.4067796610169492,0.46296296296296297,0.5714285714285714
2020-05-02,14,2018-08-11,0.5133333333333333,0.5133333333333333,0.4790829202528628,0.5042498376449892,0.391304347826087,0.4878048780487805,0.5581395348837209,0.5133333333333333,0.475236646382691,0.5133333333333333,0.375,0.3448275862068966,0.7058823529411765,0.5133333333333333,0.4701319169404276,0.5001029545710397,0.3829787234042554,0.40404040404040403,0.6233766233766234
2020-07-31,14,2018-08-11,0.54,0.54,0.5585881989496447,0.5484389867160951,0.6,0.5576923076923077,0.5180722891566265,0.54,0.49637756879136186,0.54,0.3103448275862069,0.5272727272727272,0.6515151515151515,0.54,0.5094427306369852,0.5318045347155301,0.4090909090909091,0.5420560747663552,0.5771812080536912
2019-02-07,14,2019-02-07,0.5533333333333333,0.5533333333333333,0.5252123090832769,0.552128903096645,0.45161290322580644,0.4888888888888889,0.6351351351351351,0.5533333333333333,0.5309259259259259,0.5533333333333333,0.5,0.44,0.6527777777777778,0.5533333333333333,0.5271899274538797,0.5520146314241606,0.47457627118644063,0.4631578947368421,0.6438356164383562
2019-05-08,14,2019-02-07,0.6533333333333333,0.6533333333333333,0.6254717849581147,0.6519884009942005,0.5,0.6862745098039216,0.6901408450704225,0.6533333333333333,0.6207500174732976,0.6533333333333333,0.4827586206896552,0.6481481481481481,0.7313432835820896,0.6533333333333333,0.6226798881261124,0.6521688278667684,0.49122807017543857,0.6666666666666666,0.7101449275362318
2019-08-06,14,2019-02-07,0.6066666666666667,0.6066666666666667,0.6093778857491938,0.6058480728522924,0.6296296296296297,0.5909090909090909,0.6075949367088608,0.6066666666666667,0.5947020961603222,0.6066666666666667,0.5862068965517241,0.48148148148148145,0.7164179104477612,0.6066666666666667,0.5984297828720528,0.602099990681204,0.6071428571428571,0.5306122448979591,0.6575342465753424
2019-11-04,14,2019-02-07,0.6666666666666666,0.6666666666666666,0.6587135522619394,0.6683576479705512,0.5806451612903226,0.7333333333333333,0.6621621621621622,0.6666666666666666,0.643217383107089,0.6666666666666666,0.5294117647058824,0.6346153846153846,0.765625,0.6666666666666666,0.6481344841721355,0.6644099192803808,0.5538461538461539,0.6804123711340205,0.7101449275362318
